epoch,train_loss,val_loss
1,3.348383807887634,3.004712208010518
2,3.064743816594541,2.833055098597615
3,2.797946119124626,2.6873591136627684
4,2.5741776100871885,2.4359295741437723
5,2.3797665078080064,2.2628935689743335
