model,mAP50-95,mAP50,mAP75,AR100,latency_ms_per_image,fps
yolo11s,0.38420286774635315,0.5158757567405701,0.4160768389701843,0.44768381118774414,16.024550104141234,62.404248075680414
faster_rcnn,0.3197934925556183,0.5113733410835266,0.3418479561805725,0.4299030303955078,26.673286867141723,37.49069265370064
yolo11n,0.3173990845680237,0.43544870615005493,0.34627360105514526,0.3721693456172943,15.959500169754028,62.65860392640431
detr,0.14979420602321625,0.31564122438430786,0.127658411860466,0.2399461567401886,80.08239068984986,12.487139699324015
