                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96483,                 1.0112,                 1.0798,                0.65938,                0.54175,                0.58837,                0.42367,                 1.0435,                 1.0539,                 1.1058,             3.9661e-05,             3.9661e-05,             3.9661e-05
                      2,                 1.0102,                  1.125,                 1.1111,                0.66747,                 0.5434,                0.58836,                0.42389,                 1.0386,                 1.0457,                 1.1054,             7.1829e-05,             7.1829e-05,             7.1829e-05
                      3,                 1.0051,                 1.1082,                 1.1079,                0.69055,                0.54671,                0.60116,                0.43726,                 1.0254,                 1.0178,                 1.0968,             7.8294e-05,             7.8294e-05,             7.8294e-05
                      4,                 1.0102,                0.99688,                 1.1088,                0.67079,                0.55933,                0.60798,                0.44348,                 1.0153,                 1.0052,                 1.0898,             4.1892e-05,             4.1892e-05,             4.1892e-05
                      5,                0.92789,                0.84031,                 1.0588,                0.68609,                0.55686,                  0.609,                0.44209,                 1.0218,                 1.0064,                 1.0911,              1.244e-05,              1.244e-05,              1.244e-05
